Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /8.33,Q. 2 /8.33,Q. 3 /8.33,Q. 4 /8.33,Q. 5 /8.33,Q. 6 /8.33,Q. 7 /8.33,Q. 8 /8.33,Q. 9 /8.33,Q. 10 /8.33,Q. 11 /8.33,Q. 12 /8.33
1049,Finished,12 November 2020  2:04 PM,12 November 2020  2:22 PM,17 mins 56 secs,69.44,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
928,Finished,12 November 2020  2:05 PM,12 November 2020  2:45 PM,40 mins 1 sec,48.61,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08,-1.39
2658,Finished,12 November 2020  2:05 PM,12 November 2020  2:32 PM,27 mins 26 secs,27.78,-2.08,-2.08,8.33,8.33,8.33,-2.08,-2.08,-2.08,8.33,-2.08,8.33,-1.39
1303,Finished,12 November 2020  2:05 PM,12 November 2020  2:26 PM,20 mins 33 secs,38.19,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,8.33,8.33,-2.08,-2.08,-1.39
2911,Finished,12 November 2020  2:05 PM,12 November 2020  2:32 PM,26 mins 44 secs,38.19,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08,-2.08,-1.39
2577,Finished,12 November 2020  2:05 PM,12 November 2020  2:25 PM,19 mins 36 secs,48.61,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,-1.39
1099,Finished,12 November 2020  2:06 PM,12 November 2020  2:19 PM,13 mins 55 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
1475,Finished,12 November 2020  2:06 PM,12 November 2020  2:32 PM,26 mins 25 secs,59.03,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33,-2.08,8.33,-1.39
1292,Finished,12 November 2020  2:06 PM,12 November 2020  2:24 PM,17 mins 53 secs,58.33,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33
530,Finished,12 November 2020  2:06 PM,12 November 2020  2:43 PM,36 mins 40 secs,48.61,-2.08,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,8.33,-1.39
552,Finished,12 November 2020  2:06 PM,12 November 2020  2:41 PM,35 mins 25 secs,38.19,-2.08,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08,8.33,-1.39
1522,Finished,12 November 2020  2:06 PM,12 November 2020  2:40 PM,34 mins 18 secs,79.86,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-1.39
538,Finished,12 November 2020  2:06 PM,12 November 2020  2:34 PM,28 mins 19 secs,38.19,8.33,-2.08,8.33,-2.08,8.33,-2.08,-2.08,8.33,8.33,-2.08,8.33,-1.39
528,Finished,12 November 2020  2:06 PM,12 November 2020  2:48 PM,41 mins 31 secs,59.03,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-1.39
533,Finished,12 November 2020  2:06 PM,12 November 2020  2:40 PM,33 mins 44 secs,27.78,-2.08,-2.08,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-2.08,-2.08,-1.39
531,Finished,12 November 2020  2:06 PM,12 November 2020  2:42 PM,35 mins 45 secs,47.92,-2.08,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08,8.33
1281,Finished,12 November 2020  2:06 PM,12 November 2020  2:44 PM,38 mins 2 secs,69.44,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2655,Finished,12 November 2020  2:07 PM,12 November 2020  2:39 PM,32 mins 2 secs,47.92,8.33,-2.08,8.33,8.33,-2.08,8.33,-2.08,-2.08,8.33,8.33,-2.08,8.33
1304,Finished,12 November 2020  2:07 PM,12 November 2020  2:23 PM,16 mins 28 secs,59.03,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
1859,Finished,12 November 2020  2:07 PM,12 November 2020  2:25 PM,18 mins 48 secs,69.44,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
1248,Finished,12 November 2020  2:07 PM,12 November 2020  2:17 PM,10 mins 43 secs,27.78,8.33,-2.08,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-2.08,-2.08,-1.39
1268,Finished,12 November 2020  2:08 PM,12 November 2020  2:32 PM,24 mins 37 secs,90.28,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-1.39
2665,Finished,12 November 2020  2:08 PM,12 November 2020  2:30 PM,22 mins,38.19,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-2.08,-1.39
2671,Finished,12 November 2020  2:08 PM,12 November 2020  2:21 PM,13 mins 17 secs,-3.47,-2.08,-2.08,8.33,8.33,-2.08,-2.08,-2.08,-2.08,-2.08,-2.08,-2.08,-1.39
563,Finished,12 November 2020  2:08 PM,12 November 2020  2:32 PM,24 mins 25 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
181,Finished,12 November 2020  2:08 PM,12 November 2020  2:20 PM,12 mins 12 secs,38.19,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,-2.08,-2.08,8.33,-1.39
1856,Finished,12 November 2020  2:08 PM,12 November 2020  2:30 PM,22 mins 21 secs,90.28,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-1.39
2661,Finished,12 November 2020  2:08 PM,12 November 2020  2:48 PM,40 mins,68.75,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33
1553,Finished,12 November 2020  2:08 PM,12 November 2020  2:24 PM,15 mins 18 secs,38.19,-2.08,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,-2.08,8.33,-2.08,-1.39
1159,Finished,12 November 2020  2:08 PM,12 November 2020  2:34 PM,25 mins 28 secs,48.61,8.33,-2.08,8.33,8.33,-2.08,-2.08,8.33,8.33,8.33,8.33,-2.08,-1.39
1732,Finished,12 November 2020  2:09 PM,12 November 2020  2:41 PM,32 mins 16 secs,59.03,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
213,Finished,12 November 2020  2:09 PM,12 November 2020  2:40 PM,30 mins 52 secs,27.78,-2.08,-2.08,8.33,8.33,8.33,-2.08,-2.08,-2.08,8.33,-2.08,8.33,-1.39
2672,Finished,12 November 2020  2:09 PM,12 November 2020  2:34 PM,25 mins 2 secs,48.61,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
1693,Finished,12 November 2020  2:09 PM,12 November 2020  2:25 PM,16 mins 9 secs,58.33,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,8.33
1295,Finished,12 November 2020  2:09 PM,12 November 2020  2:33 PM,24 mins,6.94,8.33,-2.08,8.33,-2.08,-2.08,-2.08,8.33,-2.08,-2.08,-2.08,-2.08,-1.39
1191,Finished,12 November 2020  2:09 PM,12 November 2020  2:47 PM,38 mins 10 secs,48.61,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33,-2.08,-2.08,-1.39
2664,Finished,12 November 2020  2:09 PM,12 November 2020  2:41 PM,31 mins 53 secs,48.61,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
1523,Finished,12 November 2020  2:09 PM,12 November 2020  2:22 PM,12 mins 29 secs,59.03,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-2.08,8.33,-1.39
1743,Finished,12 November 2020  2:10 PM,12 November 2020  2:37 PM,27 mins 41 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
1371,Finished,12 November 2020  2:10 PM,12 November 2020  2:33 PM,23 mins 8 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
667,Finished,12 November 2020  2:10 PM,12 November 2020  2:34 PM,23 mins 53 secs,48.61,-2.08,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-1.39
1536,Finished,12 November 2020  2:10 PM,12 November 2020  2:38 PM,27 mins 39 secs,69.44,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2667,Finished,12 November 2020  2:10 PM,12 November 2020  2:41 PM,30 mins 34 secs,48.61,-2.08,-2.08,8.33,8.33,8.33,-2.08,8.33,8.33,8.33,-2.08,8.33,-1.39
2912,Finished,12 November 2020  2:11 PM,12 November 2020  2:35 PM,23 mins 46 secs,17.36,-2.08,8.33,8.33,-2.08,-2.08,-2.08,8.33,-2.08,-2.08,-2.08,8.33,-1.39
1184,Finished,12 November 2020  2:11 PM,12 November 2020  2:26 PM,14 mins 22 secs,38.19,-2.08,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,8.33,-1.39
2669,Finished,12 November 2020  2:11 PM,12 November 2020  2:44 PM,32 mins 38 secs,48.61,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08,-1.39
1068,Finished,12 November 2020  2:11 PM,12 November 2020  2:37 PM,25 mins 38 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2662,Finished,12 November 2020  2:11 PM,12 November 2020  2:37 PM,25 mins 20 secs,59.03,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-1.39
2670,Finished,12 November 2020  2:11 PM,12 November 2020  2:43 PM,31 mins 44 secs,48.61,8.33,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,-2.08,-1.39
1254,Finished,12 November 2020  2:12 PM,12 November 2020  2:38 PM,26 mins 29 secs,69.44,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
1070,Finished,12 November 2020  2:12 PM,12 November 2020  2:41 PM,29 mins 34 secs,59.03,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,-1.39
2695,Finished,12 November 2020  2:12 PM,12 November 2020  2:26 PM,13 mins 38 secs,38.19,8.33,-2.08,8.33,8.33,8.33,-2.08,-2.08,8.33,8.33,-2.08,-2.08,-1.39
2674,Finished,12 November 2020  2:12 PM,12 November 2020  2:48 PM,36 mins 24 secs,69.44,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
1064,Finished,12 November 2020  2:12 PM,12 November 2020  2:39 PM,26 mins 21 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2673,Finished,12 November 2020  2:13 PM,12 November 2020  2:36 PM,23 mins 49 secs,59.03,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,8.33,-2.08,8.33,-1.39
1312,Finished,12 November 2020  2:13 PM,12 November 2020  2:54 PM,41 mins 8 secs,48.61,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,8.33,-2.08,-1.39
1620,Finished,12 November 2020  2:13 PM,12 November 2020  2:50 PM,36 mins 34 secs,69.44,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
1734,Finished,12 November 2020  2:14 PM,12 November 2020  2:48 PM,34 mins 3 secs,61.11,-,8.33,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
2646,Finished,12 November 2020  2:14 PM,12 November 2020  2:48 PM,34 mins 5 secs,27.78,-2.08,-2.08,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-2.08,8.33,-1.39
597,Finished,12 November 2020  2:14 PM,12 November 2020  2:24 PM,9 mins 50 secs,38.19,-2.08,-2.08,8.33,8.33,-2.08,-2.08,8.33,8.33,8.33,8.33,-2.08,-1.39
2704,Finished,12 November 2020  2:14 PM,12 November 2020  2:54 PM,39 mins 47 secs,59.03,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
2676,Finished,12 November 2020  2:14 PM,12 November 2020  2:28 PM,14 mins 4 secs,79.86,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-1.39
1118,Finished,12 November 2020  2:14 PM,12 November 2020  2:53 PM,38 mins 8 secs,59.03,8.33,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,8.33,-1.39
1456,Finished,12 November 2020  2:15 PM,12 November 2020  2:41 PM,26 mins 24 secs,48.61,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-2.08,8.33,-1.39
2678,Finished,12 November 2020  2:15 PM,12 November 2020  2:35 PM,20 mins 1 sec,48.61,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,8.33,-2.08,-2.08,-1.39
2680,Finished,12 November 2020  2:15 PM,12 November 2020  2:30 PM,14 mins 10 secs,48.61,-2.08,8.33,8.33,8.33,8.33,-2.08,8.33,8.33,-2.08,8.33,-2.08,-1.39
1335,Finished,12 November 2020  2:16 PM,12 November 2020  2:52 PM,36 mins 15 secs,59.03,-2.08,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,-2.08,-2.08,-1.39
