Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /26.67,Q. 2 /6.67,Q. 3 /6.67,Q. 4 /6.67,Q. 5 /6.67,Q. 6 /6.67,Q. 7 /6.67,Q. 8 /6.67,Q. 9 /6.67,Q. 10 /6.67,Q. 11 /6.67,Q. 12 /6.67
9,Finished,8 November 2020  9:28 AM,8 November 2020  9:38 AM,9 mins 50 secs,43.33,0.00,6.67,6.67,-1.67,-1.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67
52,Finished,8 November 2020  9:31 AM,8 November 2020  10:11 AM,40 mins 2 secs,18.33,-,-,3.33,-1.67,-1.67,0.00,6.67,0.00,6.67,6.67,0.00,-1.67
99,Finished,8 November 2020  9:32 AM,8 November 2020  10:07 AM,34 mins 51 secs,50.0,13.33,6.67,3.33,6.67,-1.67,6.67,0.00,6.67,-1.67,3.33,0.00,6.67
98,Finished,8 November 2020  9:32 AM,8 November 2020  10:11 AM,38 mins 48 secs,33.33,0.00,6.67,3.33,-1.67,-1.67,6.67,0.00,6.67,6.67,0.00,0.00,6.67
203,Finished,8 November 2020  9:37 AM,8 November 2020  9:56 AM,19 mins 36 secs,18.0,8.00,6.67,3.33,-1.67,-1.67,0.00,0.00,3.33,-1.67,3.33,0.00,-1.67
193,Finished,8 November 2020  9:38 AM,8 November 2020  10:20 AM,41 mins 46 secs,5.0,-,-1.67,-,-,-,-,-,-,-,-,0.00,6.67
156,Finished,8 November 2020  9:39 AM,8 November 2020  10:21 AM,41 mins 36 secs,6.67,-,-,-,-,-,0.00,-,-,6.67,-,0.00,-
102,Finished,8 November 2020  9:42 AM,8 November 2020  9:56 AM,14 mins 7 secs,61.67,13.33,6.67,5.00,-1.67,6.67,0.00,6.67,5.00,6.67,6.67,0.00,6.67
4,Finished,8 November 2020  9:43 AM,8 November 2020  10:25 AM,41 mins 22 secs,25.0,13.33,-1.67,3.33,-1.67,-1.67,0.00,0.00,0.00,6.67,0.00,0.00,6.67
122,Finished,8 November 2020  9:49 AM,8 November 2020  10:15 AM,25 mins 56 secs,16.33,8.00,6.67,3.33,-1.67,-1.67,0.00,0.00,1.67,-1.67,3.33,0.00,-1.67
105,Finished,8 November 2020  9:51 AM,8 November 2020  10:31 AM,40 mins,61.67,26.67,-,6.67,6.67,-,0.00,6.67,1.67,6.67,6.67,0.00,-
429,Finished,8 November 2020  9:55 AM,8 November 2020  10:37 AM,41 mins 53 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
280,Finished,8 November 2020  10:00 AM,8 November 2020  10:42 AM,41 mins 50 secs,18.33,0.00,-1.67,6.67,-1.67,6.67,0.00,6.67,5.00,-1.67,0.00,0.00,-1.67
11,Finished,8 November 2020  10:01 AM,8 November 2020  10:35 AM,33 mins 49 secs,21.33,21.33,-1.67,3.33,-1.67,-1.67,0.00,0.00,1.67,-1.67,3.33,0.00,-1.67
400,Finished,8 November 2020  10:04 AM,8 November 2020  10:38 AM,33 mins 38 secs,41.33,8.00,6.67,6.67,-1.67,-1.67,6.67,6.67,5.00,-1.67,0.00,0.00,6.67
102,Finished,8 November 2020  10:06 AM,8 November 2020  10:20 AM,14 mins 2 secs,41.67,0.00,6.67,6.67,-1.67,-1.67,0.00,6.67,5.00,6.67,6.67,0.00,6.67
166,Finished,8 November 2020  10:08 AM,8 November 2020  10:50 AM,41 mins 32 secs,13.33,-,-1.67,-,-,-,0.00,6.67,5.00,-,3.33,0.00,-
52,Finished,8 November 2020  10:11 AM,8 November 2020  10:34 AM,23 mins 5 secs,25.0,0.00,6.67,3.33,-1.67,-1.67,0.00,6.67,0.00,6.67,6.67,0.00,-1.67
202,Finished,8 November 2020  10:15 AM,8 November 2020  10:32 AM,16 mins 50 secs,-1.67,0.00,-1.67,3.33,-1.67,-1.67,0.00,0.00,0.00,-1.67,3.33,0.00,-1.67
61,Finished,8 November 2020  10:19 AM,8 November 2020  10:29 AM,10 mins 37 secs,23.33,0.00,-1.67,3.33,-1.67,6.67,6.67,6.67,0.00,-1.67,0.00,6.67,-1.67
58,Finished,8 November 2020  10:21 AM,8 November 2020  11:01 AM,39 mins 42 secs,36.67,0.00,6.67,3.33,-1.67,-1.67,6.67,6.67,5.00,-1.67,6.67,0.00,6.67
69,Finished,8 November 2020  10:27 AM,8 November 2020  10:53 AM,25 mins 53 secs,46.67,13.33,-1.67,6.67,-1.67,-1.67,0.00,6.67,5.00,6.67,6.67,0.00,6.67
105,Finished,8 November 2020  10:32 AM,8 November 2020  10:52 AM,20 mins 29 secs,78.33,26.67,6.67,6.67,-1.67,6.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67
430,Finished,8 November 2020  10:33 AM,8 November 2020  10:56 AM,23 mins 4 secs,55.0,13.33,-1.67,6.67,6.67,6.67,0.00,6.67,0.00,6.67,3.33,0.00,6.67
112,Finished,8 November 2020  10:33 AM,8 November 2020  10:44 AM,11 mins 1 sec,43.33,13.33,6.67,5.00,-1.67,-1.67,6.67,6.67,3.33,-1.67,0.00,0.00,6.67
202,Finished,8 November 2020  10:34 AM,8 November 2020  11:16 AM,41 mins 39 secs,6.67,-,6.67,-,-,-,-,-,-,-,0.00,-,-
11,Finished,8 November 2020  10:36 AM,8 November 2020  11:04 AM,28 mins 20 secs,-1.67,0.00,-1.67,3.33,-1.67,-1.67,0.00,0.00,0.00,-1.67,3.33,0.00,-1.67
77,Finished,8 November 2020  10:38 AM,8 November 2020  11:04 AM,26 mins 36 secs,23.33,13.33,-1.67,1.67,-1.67,-1.67,0.00,0.00,0.00,6.67,0.00,0.00,6.67
431,Finished,8 November 2020  10:39 AM,8 November 2020  10:56 AM,16 mins 48 secs,31.67,0.00,-1.67,3.33,-1.67,6.67,6.67,6.67,0.00,-1.67,0.00,6.67,6.67
112,Finished,8 November 2020  10:45 AM,8 November 2020  10:54 AM,9 mins 28 secs,55.0,26.67,6.67,5.00,-1.67,-1.67,6.67,6.67,1.67,-1.67,0.00,0.00,6.67
74,Finished,8 November 2020  10:45 AM,8 November 2020  11:27 AM,41 mins 16 secs,0.0,-,-,-,-,-,-,-,-,-,0.00,-,-
432,Finished,8 November 2020  10:53 AM,8 November 2020  11:06 AM,12 mins 48 secs,18.0,8.00,-1.67,3.33,-1.67,-1.67,0.00,6.67,0.00,6.67,0.00,0.00,-1.67
138,Finished,8 November 2020  10:54 AM,8 November 2020  11:28 AM,33 mins 32 secs,56.67,0.00,6.67,6.67,-1.67,6.67,6.67,6.67,5.00,6.67,6.67,0.00,6.67
275,Finished,8 November 2020  10:57 AM,8 November 2020  11:04 AM,6 mins 50 secs,38.0,8.00,6.67,3.33,-1.67,-1.67,6.67,6.67,5.00,-1.67,0.00,0.00,6.67
193,Finished,8 November 2020  10:58 AM,8 November 2020  11:22 AM,23 mins 26 secs,12.33,10.67,-1.67,3.33,-1.67,-1.67,0.00,0.00,1.67,-1.67,5.00,0.00,-1.67
41,Finished,8 November 2020  10:58 AM,8 November 2020  11:15 AM,16 mins 11 secs,31.67,0.00,-1.67,3.33,6.67,6.67,0.00,6.67,1.67,6.67,3.33,0.00,-1.67
85,Finished,8 November 2020  11:02 AM,8 November 2020  11:33 AM,31 mins 34 secs,46.67,26.67,-1.67,1.67,-1.67,-1.67,0.00,0.00,3.33,6.67,6.67,0.00,6.67
271,Finished,8 November 2020  11:02 AM,8 November 2020  11:42 AM,39 mins 50 secs,61.33,8.00,6.67,6.67,-1.67,6.67,6.67,6.67,1.67,6.67,6.67,0.00,6.67
11,Finished,8 November 2020  11:05 AM,8 November 2020  11:09 AM,4 mins 11 secs,14.33,16.00,-1.67,3.33,-1.67,-1.67,0.00,0.00,1.67,-1.67,1.67,0.00,-1.67
275,Finished,8 November 2020  11:06 AM,8 November 2020  11:48 AM,41 mins 28 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
76,Finished,8 November 2020  11:09 AM,8 November 2020  11:51 AM,41 mins 52 secs,25.0,-,-1.67,6.67,-1.67,6.67,6.67,6.67,1.67,-,-,-,-
158,Finished,8 November 2020  11:11 AM,8 November 2020  11:51 AM,39 mins 43 secs,83.33,26.67,6.67,6.67,6.67,-1.67,6.67,6.67,5.00,6.67,6.67,0.00,6.67
84,Finished,8 November 2020  11:12 AM,8 November 2020  11:41 AM,28 mins 49 secs,80.0,13.33,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,6.67
273,Finished,8 November 2020  11:13 AM,8 November 2020  11:53 AM,40 mins,30.0,13.33,-,-,6.67,-,-,-,-,6.67,3.33,-,-
166,Finished,8 November 2020  11:18 AM,8 November 2020  11:30 AM,11 mins 44 secs,26.67,13.33,-1.67,3.33,-1.67,6.67,0.00,6.67,0.00,-1.67,3.33,0.00,-1.67
66,Finished,8 November 2020  11:21 AM,8 November 2020  11:37 AM,15 mins 51 secs,38.0,8.00,-1.67,3.33,6.67,-1.67,0.00,6.67,3.33,6.67,0.00,0.00,6.67
270,Finished,8 November 2020  11:23 AM,8 November 2020  11:52 AM,29 mins 51 secs,38.0,8.00,-1.67,3.33,-1.67,-1.67,6.67,6.67,5.00,6.67,0.00,0.00,6.67
212,Finished,8 November 2020  11:29 AM,8 November 2020  12:09 PM,40 mins,23.33,0.00,-1.67,3.33,6.67,-1.67,0.00,0.00,3.33,6.67,6.67,0.00,-
166,Finished,8 November 2020  11:32 AM,8 November 2020  12:12 PM,40 mins 1 sec,15.67,10.67,-,3.33,-,-,-,-,1.67,-,-,0.00,-
47,Finished,8 November 2020  11:32 AM,8 November 2020  11:48 AM,15 mins 13 secs,31.0,2.67,-1.67,-,6.67,-1.67,0.00,6.67,6.67,6.67,6.67,0.00,-1.67
257,Finished,8 November 2020  11:35 AM,8 November 2020  12:15 PM,40 mins,50.0,13.33,-,6.67,6.67,6.67,0.00,6.67,5.00,-1.67,0.00,0.00,6.67
225,Finished,8 November 2020  11:38 AM,8 November 2020  12:08 PM,29 mins 10 secs,53.33,0.00,6.67,1.67,6.67,6.67,6.67,6.67,1.67,6.67,3.33,0.00,6.67
17,Finished,8 November 2020  11:40 AM,8 November 2020  12:04 PM,24 mins 4 secs,51.67,13.33,6.67,3.33,6.67,-1.67,0.00,6.67,-,6.67,3.33,0.00,6.67
92,Finished,8 November 2020  11:41 AM,8 November 2020  12:20 PM,39 mins 2 secs,31.67,13.33,-1.67,3.33,-1.67,-1.67,0.00,6.67,0.00,6.67,0.00,0.00,6.67
172,Finished,8 November 2020  11:43 AM,8 November 2020  12:05 PM,21 mins 27 secs,47.67,16.00,6.67,3.33,6.67,6.67,0.00,0.00,3.33,6.67,0.00,0.00,-1.67
196,Finished,8 November 2020  11:47 AM,8 November 2020  12:27 PM,40 mins,68.33,26.67,-1.67,6.67,6.67,-1.67,6.67,-,5.00,6.67,6.67,0.00,6.67
194,Finished,8 November 2020  11:47 AM,8 November 2020  12:27 PM,40 mins,41.33,8.00,-1.67,6.67,-1.67,-1.67,0.00,6.67,5.00,6.67,6.67,0.00,6.67
6,Finished,8 November 2020  11:47 AM,8 November 2020  12:21 PM,33 mins 28 secs,60.0,26.67,-1.67,3.33,-1.67,-1.67,6.67,6.67,5.00,6.67,3.33,0.00,6.67
72,Finished,8 November 2020  11:47 AM,8 November 2020  12:21 PM,33 mins 43 secs,45.0,13.33,6.67,6.67,-1.67,6.67,0.00,0.00,0.00,6.67,0.00,0.00,6.67
207,Finished,8 November 2020  11:50 AM,8 November 2020  12:32 PM,41 mins 44 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
108,Finished,8 November 2020  11:50 AM,8 November 2020  12:30 PM,40 mins 1 sec,39.67,21.33,-1.67,-,-,-,6.67,-,6.67,-,-,0.00,6.67
134,Finished,8 November 2020  11:57 AM,8 November 2020  12:24 PM,26 mins 54 secs,31.67,13.33,-1.67,3.33,-1.67,-1.67,0.00,6.67,1.67,-1.67,6.67,0.00,6.67
178,Finished,8 November 2020  11:59 AM,8 November 2020  12:39 PM,40 mins 1 sec,83.33,26.67,6.67,6.67,6.67,6.67,6.67,6.67,5.00,-1.67,6.67,0.00,6.67
12,Finished,8 November 2020  12:04 PM,8 November 2020  12:35 PM,30 mins 44 secs,70.0,26.67,-1.67,6.67,-1.67,6.67,6.67,6.67,0.00,6.67,6.67,0.00,6.67
166,Finished,8 November 2020  12:12 PM,8 November 2020  12:33 PM,20 mins 50 secs,49.0,10.67,-1.67,6.67,6.67,-1.67,0.00,6.67,1.67,6.67,6.67,0.00,6.67
13,Finished,8 November 2020  12:13 PM,8 November 2020  12:53 PM,40 mins 25 secs,18.33,0.00,6.67,3.33,-1.67,-,0.00,-,5.00,-1.67,-,-,6.67
433,Finished,8 November 2020  12:15 PM,8 November 2020  12:41 PM,25 mins 43 secs,0.0,0.00,-1.67,3.33,-1.67,-1.67,0.00,0.00,1.67,-1.67,3.33,0.00,-1.67
159,Finished,8 November 2020  12:16 PM,8 November 2020  12:56 PM,40 mins 1 sec,34.33,2.67,6.67,-,6.67,-1.67,-,0.00,1.67,6.67,6.67,6.67,-1.67
257,Finished,8 November 2020  12:17 PM,8 November 2020  12:59 PM,41 mins 50 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
61,Finished,8 November 2020  12:17 PM,8 November 2020  12:27 PM,9 mins 54 secs,31.67,0.00,6.67,3.33,-1.67,6.67,6.67,6.67,0.00,-1.67,0.00,6.67,-1.67
35,Finished,8 November 2020  12:22 PM,8 November 2020  12:51 PM,29 mins 31 secs,51.67,13.33,-1.67,3.33,6.67,-1.67,0.00,6.67,5.00,6.67,6.67,0.00,6.67
25,Finished,8 November 2020  12:22 PM,8 November 2020  12:51 PM,29 mins 29 secs,50.0,13.33,-1.67,3.33,6.67,-1.67,0.00,6.67,3.33,6.67,6.67,0.00,6.67
121,Finished,8 November 2020  12:22 PM,8 November 2020  1:02 PM,40 mins 3 secs,26.33,21.33,-1.67,-,-,-1.67,0.00,6.67,0.00,-1.67,3.33,0.00,-
6,Finished,8 November 2020  12:22 PM,8 November 2020  12:46 PM,24 mins 11 secs,48.0,8.00,6.67,3.33,-1.67,-1.67,6.67,6.67,3.33,6.67,3.33,0.00,6.67
231,Finished,8 November 2020  12:23 PM,8 November 2020  1:03 PM,40 mins,30.0,13.33,-1.67,3.33,-,-1.67,0.00,6.67,5.00,6.67,0.00,0.00,-1.67
134,Finished,8 November 2020  12:25 PM,8 November 2020  1:07 PM,41 mins 57 secs,0.0,-,-,-,-,-,-,-,-,-,-,-,-
196,Finished,8 November 2020  12:27 PM,8 November 2020  12:37 PM,9 mins 40 secs,66.67,26.67,-1.67,6.67,-1.67,-1.67,6.67,6.67,5.00,6.67,6.67,0.00,6.67
194,Finished,8 November 2020  12:27 PM,8 November 2020  12:34 PM,7 mins 2 secs,49.67,8.00,-1.67,6.67,-1.67,6.67,0.00,6.67,5.00,6.67,6.67,0.00,6.67
92,Finished,8 November 2020  12:30 PM,8 November 2020  12:35 PM,5 mins 31 secs,38.33,13.33,-1.67,3.33,-1.67,-1.67,0.00,6.67,0.00,6.67,0.00,6.67,6.67
108,Finished,8 November 2020  12:30 PM,8 November 2020  12:47 PM,16 mins 26 secs,68.0,21.33,-1.67,3.33,6.67,6.67,6.67,6.67,6.67,-1.67,6.67,0.00,6.67
240,Finished,8 November 2020  12:30 PM,8 November 2020  12:55 PM,24 mins 57 secs,53.0,8.00,6.67,3.33,6.67,-1.67,6.67,6.67,5.00,-1.67,6.67,0.00,6.67
103,Finished,8 November 2020  12:32 PM,8 November 2020  12:49 PM,16 mins 43 secs,64.33,2.67,6.67,3.33,6.67,6.67,6.67,6.67,5.00,6.67,6.67,0.00,6.67
117,Finished,8 November 2020  12:33 PM,8 November 2020  1:13 PM,40 mins,41.33,8.00,-,1.67,-,6.67,6.67,6.67,-,-1.67,6.67,0.00,6.67
101,Finished,8 November 2020  12:38 PM,8 November 2020  1:20 PM,41 mins 24 secs,6.67,-,-,-,6.67,-,-,-,-,-,-,-,-
178,Finished,8 November 2020  12:39 PM,8 November 2020  12:55 PM,15 mins 50 secs,51.0,2.67,-1.67,6.67,6.67,6.67,6.67,6.67,5.00,-1.67,6.67,0.00,6.67
204,Finished,8 November 2020  12:41 PM,8 November 2020  1:15 PM,33 mins 43 secs,13.33,0.00,-1.67,3.33,-1.67,-1.67,0.00,0.00,6.67,-1.67,3.33,0.00,6.67
55,Finished,8 November 2020  12:44 PM,8 November 2020  1:21 PM,36 mins 22 secs,59.67,8.00,6.67,6.67,6.67,-1.67,6.67,6.67,5.00,6.67,1.67,0.00,6.67
434,Finished,8 November 2020  12:47 PM,8 November 2020  1:29 PM,41 mins 26 secs,-5.0,0.00,-1.67,3.33,-1.67,-1.67,0.00,0.00,0.00,-1.67,0.00,0.00,-1.67
435,Finished,8 November 2020  12:52 PM,8 November 2020  1:26 PM,34 mins 12 secs,55.0,13.33,-1.67,6.67,6.67,-1.67,6.67,6.67,5.00,6.67,0.00,0.00,6.67
265,Finished,8 November 2020  12:52 PM,8 November 2020  1:19 PM,27 mins 18 secs,38.33,0.00,-1.67,3.33,-1.67,-1.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67
215,Finished,8 November 2020  12:53 PM,8 November 2020  1:25 PM,31 mins 32 secs,51.33,8.00,-1.67,0.00,6.67,6.67,6.67,0.00,5.00,6.67,6.67,0.00,6.67
433,Finished,8 November 2020  12:55 PM,8 November 2020  1:37 PM,41 mins 11 secs,0.0,-,-,1.67,-,-1.67,-,-,-,-,-,-,-
8,Finished,8 November 2020  12:56 PM,8 November 2020  1:36 PM,40 mins 1 sec,18.33,13.33,-,-,-1.67,-,-,-,-,-,-,0.00,6.67
26,Finished,8 November 2020  12:57 PM,8 November 2020  1:25 PM,27 mins 24 secs,48.33,13.33,-1.67,3.33,-1.67,-1.67,6.67,6.67,3.33,6.67,6.67,0.00,6.67
139,Finished,8 November 2020  12:58 PM,8 November 2020  1:38 PM,40 mins,-1.67,-,-,-,-,-,-,-,-,-,-,-,-1.67
159,Finished,8 November 2020  12:58 PM,8 November 2020  1:09 PM,10 mins 57 secs,31.0,2.67,6.67,3.33,6.67,-1.67,0.00,0.00,1.67,6.67,6.67,0.00,-1.67
91,Finished,8 November 2020  12:59 PM,8 November 2020  1:40 PM,41 mins 9 secs,31.67,0.00,-,3.33,-1.67,-1.67,6.67,6.67,6.67,6.67,6.67,0.00,-1.67
176,Finished,8 November 2020  1:00 PM,8 November 2020  1:40 PM,40 mins,44.67,8.00,6.67,3.33,-,-,6.67,6.67,-,6.67,-,0.00,6.67
147,Finished,8 November 2020  1:01 PM,8 November 2020  1:41 PM,39 mins 18 secs,21.67,0.00,-1.67,3.33,-1.67,-1.67,0.00,6.67,5.00,6.67,0.00,6.67,-1.67
83,Finished,8 November 2020  1:04 PM,8 November 2020  1:45 PM,40 mins 1 sec,25.0,0.00,-1.67,-,-1.67,6.67,6.67,6.67,-,6.67,1.67,0.00,-
185,Finished,8 November 2020  1:05 PM,8 November 2020  1:44 PM,39 mins 33 secs,73.33,26.67,6.67,6.67,6.67,6.67,0.00,6.67,1.67,-1.67,6.67,0.00,6.67
194,Finished,8 November 2020  1:07 PM,8 November 2020  1:49 PM,41 mins 34 secs,44.67,8.00,-,6.67,-1.67,-,0.00,6.67,5.00,6.67,6.67,0.00,6.67
201,Finished,8 November 2020  1:09 PM,8 November 2020  1:35 PM,25 mins 51 secs,21.67,0.00,-1.67,6.67,-1.67,-1.67,6.67,0.00,0.00,6.67,0.00,0.00,6.67
110,Finished,8 November 2020  1:11 PM,8 November 2020  1:49 PM,38 mins 12 secs,30.0,0.00,6.67,3.33,-1.67,-1.67,0.00,6.67,0.00,6.67,3.33,0.00,6.67
117,Finished,8 November 2020  1:13 PM,8 November 2020  1:28 PM,15 mins 9 secs,51.33,8.00,6.67,1.67,-1.67,6.67,6.67,6.67,5.00,-1.67,6.67,0.00,6.67
118,Finished,8 November 2020  1:14 PM,8 November 2020  1:42 PM,27 mins 36 secs,71.33,21.33,6.67,6.67,-1.67,6.67,0.00,6.67,5.00,6.67,6.67,0.00,6.67
206,Finished,8 November 2020  1:19 PM,8 November 2020  1:59 PM,40 mins,15.0,-,-1.67,3.33,6.67,-1.67,0.00,-,-,6.67,3.33,0.00,-1.67
51,Finished,8 November 2020  1:29 PM,8 November 2020  2:09 PM,40 mins 1 sec,59.67,21.33,-,6.67,6.67,-,-,6.67,5.00,-,6.67,0.00,6.67
82,Finished,8 November 2020  1:32 PM,8 November 2020  2:11 PM,38 mins 38 secs,64.67,8.00,6.67,6.67,6.67,-1.67,6.67,6.67,5.00,6.67,6.67,0.00,6.67
8,Finished,8 November 2020  1:37 PM,8 November 2020  2:18 PM,41 mins 30 secs,16.67,-,-,6.67,-1.67,-,-,-,0.00,-1.67,6.67,0.00,6.67
276,Finished,8 November 2020  1:37 PM,8 November 2020  2:19 PM,41 mins 9 secs,18.33,-,-,-,6.67,-,0.00,-,1.67,6.67,3.33,-,-
1,Finished,8 November 2020  1:39 PM,8 November 2020  1:57 PM,18 mins 26 secs,1.33,8.00,-1.67,0.00,-1.67,-1.67,0.00,0.00,1.67,-1.67,0.00,0.00,-1.67
135,Finished,8 November 2020  1:40 PM,8 November 2020  2:13 PM,33 mins 29 secs,39.33,2.67,6.67,5.00,-1.67,-1.67,0.00,6.67,1.67,6.67,6.67,0.00,6.67
91,Finished,8 November 2020  1:41 PM,8 November 2020  2:23 PM,41 mins 51 secs,5.0,-,-,-,-,-,-,-,5.00,-,-,-,-
128,Finished,8 November 2020  1:41 PM,8 November 2020  2:13 PM,32 mins 4 secs,43.33,13.33,-1.67,6.67,-1.67,6.67,0.00,6.67,5.00,6.67,3.33,0.00,-1.67
176,Finished,8 November 2020  1:41 PM,8 November 2020  2:04 PM,23 mins 19 secs,53.0,8.00,6.67,3.33,-1.67,6.67,6.67,6.67,3.33,6.67,0.00,0.00,6.67
39,Finished,8 November 2020  1:43 PM,8 November 2020  2:23 PM,40 mins 1 sec,21.0,2.67,6.67,-,-,-,-,-,5.00,-,-,-,6.67
189,Finished,8 November 2020  1:43 PM,8 November 2020  1:49 PM,5 mins 57 secs,26.67,0.00,-1.67,3.33,-1.67,-1.67,0.00,6.67,1.67,6.67,6.67,0.00,6.67
255,Finished,8 November 2020  1:44 PM,8 November 2020  2:26 PM,41 mins 24 secs,18.0,8.00,-,3.33,6.67,-,-,-,-,-,-,-,-
282,Finished,8 November 2020  1:45 PM,8 November 2020  2:16 PM,30 mins 23 secs,28.33,13.33,-1.67,3.33,-1.67,-1.67,0.00,0.00,0.00,6.67,3.33,0.00,6.67
191,Finished,8 November 2020  1:47 PM,8 November 2020  2:06 PM,18 mins 46 secs,41.67,0.00,6.67,6.67,-1.67,6.67,6.67,6.67,5.00,-1.67,0.00,0.00,6.67
64,Finished,8 November 2020  1:50 PM,8 November 2020  2:32 PM,41 mins 13 secs,11.67,-,-,3.33,-,-,-,-,-,-1.67,3.33,-,6.67
239,Finished,8 November 2020  1:53 PM,8 November 2020  2:21 PM,27 mins 55 secs,59.67,8.00,-1.67,6.67,6.67,6.67,6.67,6.67,0.00,6.67,6.67,0.00,6.67
83,Finished,8 November 2020  1:54 PM,8 November 2020  2:34 PM,40 mins 1 sec,30.0,0.00,-1.67,1.67,-1.67,-1.67,6.67,6.67,5.00,6.67,1.67,0.00,6.67
147,Finished,8 November 2020  1:55 PM,8 November 2020  2:13 PM,18 mins 37 secs,25.0,13.33,-1.67,0.00,-1.67,-1.67,0.00,0.00,5.00,6.67,0.00,6.67,-1.67
139,Finished,8 November 2020  1:55 PM,8 November 2020  2:22 PM,27 mins 12 secs,0.0,0.00,-1.67,0.00,-1.67,-1.67,-,-,0.00,6.67,0.00,0.00,-1.67
192,Finished,8 November 2020  2:02 PM,8 November 2020  2:37 PM,35 mins 9 secs,36.67,13.33,-1.67,6.67,-1.67,6.67,0.00,6.67,1.67,-1.67,0.00,0.00,6.67
