Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
70,Finished,11 November 2020  12:31 PM,11 November 2020  12:53 PM,22 mins 32 secs,32.29,0.00,-3.13,4.17,0.00,6.25,12.50,12.50,0.00
71,Finished,11 November 2020  12:31 PM,11 November 2020  1:00 PM,28 mins 40 secs,59.38,12.50,-3.13,6.25,12.50,6.25,12.50,12.50,0.00
2,Finished,11 November 2020  12:32 PM,11 November 2020  12:55 PM,23 mins 24 secs,59.38,6.25,12.50,12.50,12.50,6.25,12.50,-3.13,0.00
45,Finished,11 November 2020  12:32 PM,11 November 2020  12:42 PM,10 mins 14 secs,56.25,12.50,-3.13,12.50,12.50,12.50,12.50,-3.13,0.00
72,Finished,11 November 2020  12:32 PM,11 November 2020  1:02 PM,30 mins 1 sec,15.63,0.00,-3.13,-,-,6.25,12.50,-,0.00
73,Finished,11 November 2020  12:33 PM,11 November 2020  12:37 PM,3 mins 48 secs,15.63,6.25,-3.13,0.00,12.50,6.25,-3.13,-3.13,0.00
74,Finished,11 November 2020  12:34 PM,11 November 2020  12:54 PM,20 mins 19 secs,62.5,3.13,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
75,Finished,11 November 2020  12:35 PM,11 November 2020  12:55 PM,20 mins,31.25,6.25,-3.13,6.25,12.50,0.00,12.50,-3.13,0.00
76,Finished,11 November 2020  12:35 PM,11 November 2020  1:00 PM,24 mins 51 secs,65.63,6.25,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
77,Finished,11 November 2020  12:35 PM,11 November 2020  12:49 PM,14 mins 21 secs,34.38,3.13,-3.13,6.25,12.50,6.25,12.50,-3.13,-
78,Finished,11 November 2020  12:35 PM,11 November 2020  12:52 PM,17 mins 2 secs,71.88,12.50,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
79,Finished,11 November 2020  12:36 PM,11 November 2020  12:58 PM,21 mins 44 secs,71.88,12.50,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
49,Finished,11 November 2020  12:36 PM,11 November 2020  12:43 PM,7 mins,62.5,0.00,12.50,12.50,12.50,0.00,12.50,12.50,0.00
20,Finished,11 November 2020  12:37 PM,11 November 2020  12:53 PM,15 mins 52 secs,59.38,0.00,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
80,Finished,11 November 2020  12:37 PM,11 November 2020  12:49 PM,11 mins 42 secs,37.5,3.13,-3.13,12.50,12.50,3.13,12.50,-3.13,0.00
81,Finished,11 November 2020  12:37 PM,11 November 2020  12:52 PM,14 mins 44 secs,50.0,12.50,-3.13,6.25,12.50,12.50,12.50,-3.13,0.00
63,Finished,11 November 2020  12:37 PM,11 November 2020  1:09 PM,31 mins 9 secs,0.0,-,-,-,-,-,-,-,-
29,Finished,11 November 2020  12:37 PM,11 November 2020  1:09 PM,31 mins 9 secs,0.0,-,-,-,-,-,-,-,-
82,Finished,11 November 2020  12:38 PM,11 November 2020  12:56 PM,18 mins 47 secs,32.29,0.00,12.50,4.17,0.00,6.25,12.50,-3.13,0.00
83,Finished,11 November 2020  12:38 PM,11 November 2020  12:52 PM,14 mins 35 secs,18.75,0.00,-3.13,0.00,12.50,0.00,-3.13,12.50,-
62,Finished,11 November 2020  12:39 PM,11 November 2020  1:09 PM,30 mins 1 sec,0.0,-,-,-,-,-,-,-,-
84,Finished,11 November 2020  12:39 PM,11 November 2020  12:52 PM,13 mins 18 secs,51.04,6.25,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
26,Finished,11 November 2020  12:39 PM,11 November 2020  1:09 PM,30 mins 1 sec,31.25,0.00,-3.13,0.00,9.38,0.00,12.50,-,12.50
85,Finished,11 November 2020  12:39 PM,11 November 2020  1:07 PM,28 mins 26 secs,56.25,3.13,-3.13,12.50,12.50,6.25,12.50,12.50,0.00
40,Finished,11 November 2020  12:40 PM,11 November 2020  1:12 PM,31 mins 50 secs,12.5,-,-,-,-,-,-,12.50,-
51,Finished,11 November 2020  12:40 PM,11 November 2020  1:06 PM,26 mins 4 secs,56.25,12.50,-3.13,12.50,12.50,12.50,12.50,-3.13,0.00
47,Finished,11 November 2020  12:40 PM,11 November 2020  1:10 PM,30 mins 1 sec,0.0,0.00,-,-,0.00,-,-,-,0.00
86,Finished,11 November 2020  12:41 PM,11 November 2020  1:11 PM,30 mins,43.75,0.00,-,-,12.50,6.25,12.50,12.50,0.00
66,Finished,11 November 2020  12:42 PM,11 November 2020  1:14 PM,31 mins 47 secs,0.0,-,-,-,-,-,-,-,-
87,Finished,11 November 2020  12:42 PM,11 November 2020  1:14 PM,31 mins 37 secs,29.17,0.00,-3.13,4.17,12.50,6.25,12.50,-3.13,0.00
38,Finished,11 November 2020  12:42 PM,11 November 2020  1:14 PM,31 mins 23 secs,0.0,-,-,-,-,-,-,-,-
46,Finished,11 November 2020  12:42 PM,11 November 2020  12:51 PM,8 mins 16 secs,40.63,0.00,12.50,6.25,0.00,0.00,12.50,-3.13,12.50
88,Finished,11 November 2020  12:43 PM,11 November 2020  1:10 PM,26 mins 59 secs,53.13,0.00,-3.13,6.25,12.50,12.50,12.50,12.50,0.00
35,Finished,11 November 2020  12:43 PM,11 November 2020  1:15 PM,31 mins 45 secs,68.75,0.00,12.50,6.25,12.50,12.50,12.50,12.50,0.00
89,Finished,11 November 2020  12:43 PM,11 November 2020  1:15 PM,31 mins 37 secs,46.88,0.00,-3.13,6.25,12.50,6.25,12.50,12.50,0.00
90,Finished,11 November 2020  12:43 PM,11 November 2020  1:04 PM,21 mins 2 secs,43.75,12.50,-3.13,12.50,12.50,0.00,12.50,-3.13,0.00
91,Finished,11 November 2020  12:43 PM,11 November 2020  1:15 PM,31 mins 12 secs,0.0,-,-,-,-,-,-,-,-
